level;harf;kelime;soru
1;4;hece; tek nefeste çıkan ses
1;4;ıtır;güzel koku
1;4;feci;kötünün de ötesinde olan, yürekler acısı şey
1;4;kadı;kız evlatlarıyla ata sözlerinie konu olan meslek sahibi
1;4;çapa;deniz araçları için el freni
1;4;ukde;mecazi anlamda bağozda düğüm olan şey
1;4;izbe;basık loş nemli ve kuytu yer
1;4;aman;bir suçun bağışlanması istendiğini anlatan bir söz
1;4;eşik;ilkel deprem sığınağı
1;4;keçe;dayak arsızı olmuş bir tür kaba kumaş
2;5;civan;yakışıklı delikanlı
2;5;çırpı;çok zayıf insanlara yakıştırılan bir tabir
2;5;merak;bilimin temelindeki insani duygu
2;5;kıyak;teklifsiz konuşmada çok güzel, mükemmel anlamındaki söz
2;5;insaf;vicdana dayanan adalet
2;5;nefes;yaşamsal alışveriş
2;5;güven;korku, çekinme ve kuşku duymama hali
2;5;pıhtı;yarı katı duruma gelmiş sıvı
2;5;niyet;bazı hayvanlar tarafından yapılan kehanet
2;5;ayyuk;gögün en yüksek yeri
3;6;hardal;ismine ait rengi olan bir tür sos
3;6;hayhay;seve seve anlamında bir söz
3;6;inziva;toplumsal yaşantıdan kaçış
3;6;çırmık;tırnakla açılan yara
3;6;isabet;güzel rastlantı
3;6;heyhat;ne yazik ki anlamında kullanılan bir söz
3;6;dehliz;üstü kapalı dar ve uzun geçit
3;6;paspal;bakımsız, dağınık kimse
3;6;yüksük;parmak zırhı
3;6;kaparo;ticari yüz görümlüğü
4;7;şeytani;kötülük ve zeka içeren
4;7;canavar;cana kıyan, insan öldüren
4;7;çenebaz;çok konuşarak karşısındakini paralize eden kişi
4;7;paravan;insanı saklayan ve gizleyen eşya
4;7;akademi;bir bilim yada sanat dalıyla ilgili kuruluş
4;7;safsata;boş ve temelsiz söz
4;7;panayır;göçebe lünapark
4;7;dopiyes;kadın siyasetçi üniforması
4;7;sadakat;ihanetle son eren tutum
4;7;yampiri;yan yan ve çarpık giden
5;8;müstesna;eski dilde benzerlerinden üstün olan
5;8;mimlemek;kişiyi davranışı sebebiyle iyi düşünülmeyenler arasına koymak
5;8;külliyen;bütünüyle tamamıyla anlamında bir söz
5;8;sabahlık;sabahları yataktan kalkınca geçici olarak giyilen üstlük
5;8;karalama;temize geçilmemiş yazı taslağı
5;8;nüktedan;eşek şakasına değil ince esprilere prim veren kişi
5;8;orkestra;uyumsuz olduklarında armonik faciaya neden olan grup
5;8;dolambaç;dönerek uzanan yolun kıvrıntısı
5;8;haşlamak;mecazi anlamada fena halde azarlamak
5;8;sıkıfıkı;samimi arkadaşlar için kullanılan söz dizisi
6;9;metafizik;somut yasalara bağlı olmayan bilim dalı
6;9;bodoslama;pervasızca, sonunu düşünmeden ileriye atılmak
6;9;tabakhane;hayvan postunu kulanılacak duruma getirdiği yer
6;9;kabiliyet;yetenek
6;9;ciğerpare;çok sevilen kimse
6;9;karikatür;düşündürücü ve güldürücü resim
6;9;ırgalamak;teklifsiz konuşmada ilgilendirmek
6;9;sereserpe;çekinmeden, rahat bir biçimde anlamındaki söz dizisi
6;9;pılıpırtı;değersiz eski eşya
6;9;afallamak;şaşkınlıktan sersemleşmek
7;10;ebemkuşağı;gökkuşağı
7;10;açgözlülük;doymazlık, tamahkarlık
7;10;bahtsızlık;ne talihsizlik kadar sert ne de şanssızlık kadar kötü durum
7;10;kaçınılmaz;istek ve irade dışında olan
7;10;akışkanlık;satın alma gücü, likitide
7;10;elverişsiz;uygun olmayan
7;10;cibilliyet;mizaç özellikleri
7;10;gözbanyosu;teklisiz konuşmada güzel bir kadını izlemek
7;10;halimselim;yumuşak huylu kişiler için kullanılan söz
7;10;kaplumbağa;çok sert ve kemiksi bir kabuk içinde yaşayan, ağır yürüyüşlü, dört ayaklı hayvan
